date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:52:46	40589/40589	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh4.googleusercontent.com/YXPjenPm3EQfcNLCg8CXBxzPTBeOvjr3dR1kbs74dkNHi-lpOZJR2ZW713WFnLvuwtXU4Kb2=w170	/home/pvela/websites/deepgrasp/lh4.googleusercontent.com/unnamed-2.png	(from https://sites.google.com/view/DeepGrasp)
03:52:46	15293/15293	---M--	200	added ('OK')	image/png	etag:%22v1%22	https://lh3.googleusercontent.com/YIn33CryZv9RzEYmFUDDqgUlEOp98Yj6vEM42ueCO9CWXCuRWvreXHDo9Tmn9AHgmQPrZDtE9ZDMKari2RYjkjsXDVXpJ9aqT1W6vbn86R1r_mDaL3kt=w371	/home/pvela/websites/deepgrasp/lh3.googleusercontent.com/unnamed-2.png	(from https://sites.google.com/view/DeepGrasp)
03:52:47	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Nov%202019%2008:52:46%20GMT	https://fonts.googleapis.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:47	780/780	---M-Z	200	added ('OK')	text/plain	date:Thu,%2014%20Nov%202019%2020:15:00%20GMT	https://www.gstatic.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:47	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:47%20GMT	https://lh5.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:48	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:47%20GMT	https://lh4.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:48	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:48%20GMT	https://lh6.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:48	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:48%20GMT	https://lh3.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:51	12887/12887	UR-MC-	200	added ('OK')	application/javascript	etag:%226df11951d5783f497baad6ec0b627a59%22	https://apis.google.com/js/client.js?onload=gapiLoaded	/home/pvela/websites/deepgrasp/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/DeepGrasp)
03:52:52	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Nov%202019%2008:52:49%20GMT	https://fonts.googleapis.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:58	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:58%20GMT	https://lh4.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:52:59	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:52:59%20GMT	https://lh6.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
03:53:00	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2008:53:00%20GMT	https://lh3.googleusercontent.com/robots.txt		(from https://sites.google.com/view/DeepGrasp)
